condition,subject,session,cycle,trial,test,stimulus,category,response,dangerous,nutricious,correct,cumulative,RT,motivation,competence,communication,complement,AccuracyP,Accuracy
Dyads,32,2,1,25,0,01011.jpg 2,3,4,1,0,0,-300,14022,3,3.5,2.5,1.5,0.5531416995265135,0
Dyads,32,2,1,26,0,11010.jpg 2,4,3,1,1,0,-400,15973,3,3.5,2.5,1.5,0.4219614920868344,0
Dyads,32,2,1,27,0,10100.jpg 2,2,1,0,1,0,-500,49772,3,3.5,2.5,1.5,0.6346025516310978,0
Dyads,32,2,1,28,0,01101.jpg 2,2,2,0,1,1,-400,19430,3,3.5,2.5,1.5,0.5325214867365579,1
Dyads,32,2,1,29,0,01000.jpg 2,1,2,0,0,0,-500,6221,3,3.5,2.5,1.5,0.5592118456989885,0
Dyads,32,2,1,30,0,11111.jpg 2,4,4,1,1,1,-400,54740,3,3.5,2.5,1.5,0.7125827698034516,1
Dyads,32,2,1,31,0,01010.jpg 2,3,2,1,0,0,-500,33662,3,3.5,2.5,1.5,0.5527355632004399,0
Dyads,32,2,1,32,0,01000.jpg 2,1,2,0,0,0,-600,6003,3,3.5,2.5,1.5,0.5592118456989885,0
Dyads,32,3,1,1,0,00001.jpg 3,1,1,0,0,1,100,23296,3,3.5,2.5,1.5,0.7257734484072778,1
Dyads,32,3,1,2,0,00100.jpg 3,1,3,0,0,0,0,10005,3,3.5,2.5,1.5,0.49229566785483353,0
Dyads,32,3,1,3,0,11110.jpg 3,2,3,0,1,0,-100,4150,3,3.5,2.5,1.5,0.45691960296652234,0
Dyads,32,3,1,4,0,00010.jpg 3,1,2,0,0,0,-200,30927,3,3.5,2.5,1.5,0.4142067731290518,0
Dyads,32,3,1,5,0,01000.jpg 3,1,1,0,0,1,-100,5867,3,3.5,2.5,1.5,0.5861068918385373,1
Dyads,32,3,1,6,0,10110.jpg 3,2,2,0,1,1,0,19289,3,3.5,2.5,1.5,0.3779321201254598,1
Dyads,32,3,1,7,0,11000.jpg 3,1,1,0,0,1,100,9175,3,3.5,2.5,1.5,0.47673521587043727,1
Dyads,32,3,1,8,0,10101.jpg 3,2,3,0,1,0,0,6433,3,3.5,2.5,1.5,0.4531885693767349,0
Dyads,32,3,1,9,0,11101.jpg 3,2,3,0,1,0,-100,18151,3,3.5,2.5,1.5,0.4330645820457342,0
